Publisher_ID,Name,Phone,Email,,Publisher,PublisherID,,,
1,Sybex,922-885-2278,"Sybex""@gmail.com""",,Sybex,1,,,"""@gmail.com"""
2,McGraw-Hill Osborne Media,667-625-8765,"McGraw-Hill Osborne Media""@gmail.com""",,McGraw-Hill Osborne Media,2,,,
3,John Wiley & Sons,617-191-6868,"John Wiley & Sons""@gmail.com""",,John Wiley & Sons,3,,,
4,Morgan Kaufmann,696-903-8647,"Morgan Kaufmann""@gmail.com""",,Morgan Kaufmann,4,,,
5,"Schmidt Ink, Inc.",617-131-5895,"Schmidt Ink, Inc.""@gmail.com""",,"Schmidt Ink, Inc.",5,,,
6,Addison-Wesley Pub Co,573-774-9376,"Addison-Wesley Pub Co""@gmail.com""",,Addison-Wesley Pub Co,6,,,
7,Macromedia Press,667-631-4832,"Macromedia Press""@gmail.com""",,Macromedia Press,7,,,
8,Addison-Wesley Publishing,667-122-8895,"Addison-Wesley Publishing""@gmail.com""",,Addison-Wesley Publishing,8,,,
9,Wrox Press Inc,573-670-3203,"Wrox Press Inc""@gmail.com""",,Wrox Press Inc,9,,,
10,Berkley Pub Group,573-906-1082,"Berkley Pub Group""@gmail.com""",,Berkley Pub Group,10,,,
11,Penguin USA ,696-861-9418,"Penguin USA ""@gmail.com""",,Penguin USA ,11,,,
12,O'Reilly & Associates,667-493-9749,"O'Reilly & Associates""@gmail.com""",,O'Reilly & Associates,12,,,
13,McGraw-Hill Trade,573-445-4667,"McGraw-Hill Trade""@gmail.com""",,McGraw-Hill Trade,13,,,
14,Picador,573-562-7759,"Picador""@gmail.com""",,Picador,14,,,
15,St. Martin's Press,696-622-1398,"St. Martin's Press""@gmail.com""",,St. Martin's Press,15,,,
16,Crown Pub,696-253-1163,"Crown Pub""@gmail.com""",,Crown Pub,16,,,
17,Little Brown & Company,573-970-1655,"Little Brown & Company""@gmail.com""",,Little Brown & Company,17,,,
18,Simon & Schuster,696-360-3968,"Simon & Schuster""@gmail.com""",,Simon & Schuster,18,,,
19,HarperCollins,573-831-1774,"HarperCollins""@gmail.com""",,HarperCollins,19,,,
20,Jossey-Bass,922-740-5926,"Jossey-Bass""@gmail.com""",,Jossey-Bass,20,,,
21,Multnomah Publishers Inc.,617-367-5062,"Multnomah Publishers Inc.""@gmail.com""",,Multnomah Publishers Inc.,21,,,
22,Perennial,667-637-6692,"Perennial""@gmail.com""",,Perennial,22,,,
23,Dell Pub Co,696-808-5542,"Dell Pub Co""@gmail.com""",,Dell Pub Co,23,,,
24,Harlequin,696-251-5282,"Harlequin""@gmail.com""",,Harlequin,24,,,
25,Viking Press,696-446-2486,"Viking Press""@gmail.com""",,Viking Press,25,,,
26,Perseus Publishing,667-931-2255,"Perseus Publishing""@gmail.com""",,Perseus Publishing,26,,,
27,Random House,696-427-5843,"Random House""@gmail.com""",,Random House,27,,,
28,Knopf,696-817-3983,"Knopf""@gmail.com""",,Knopf,28,,,
29,"Wolfram Media, Inc.",667-348-1041,"Wolfram Media, Inc.""@gmail.com""",,"Wolfram Media, Inc.",29,,,
30,Fireside,573-396-7744,"Fireside""@gmail.com""",,Fireside,30,,,
31,Random House Trade Paperbacks,617-786-8480,"Random House Trade Paperbacks""@gmail.com""",,Random House Trade Paperbacks,31,,,
32,Gibbs Smith Publisher,922-247-2878,"Gibbs Smith Publisher""@gmail.com""",,Gibbs Smith Publisher,32,,,
33,Taunton Pr,573-147-1440,"Taunton Pr""@gmail.com""",,Taunton Pr,33,,,
34,Vendome Pr,667-978-3317,"Vendome Pr""@gmail.com""",,Vendome Pr,34,,,
35,Clarkson N. Potter,667-632-2095,"Clarkson N. Potter""@gmail.com""",,Clarkson N. Potter,35,,,
36,MIT Press,573-707-2043,"MIT Press""@gmail.com""",,MIT Press,36,,,
37,McGraw-Hill/Irwin,922-504-8459,"McGraw-Hill/Irwin""@gmail.com""",,McGraw-Hill/Irwin,37,,,
38,South-Western College Pub,696-846-6981,"South-Western College Pub""@gmail.com""",,South-Western College Pub,38,,,
39,Prentice Hall,667-461-4154,"Prentice Hall""@gmail.com""",,Prentice Hall,39,,,
40,Warner Books,667-541-5631,"Warner Books""@gmail.com""",,Warner Books,40,,,
41,Scribner,573-939-4293,"Scribner""@gmail.com""",,Scribner,41,,,
42,Pocket Books,573-779-6592,"Pocket Books""@gmail.com""",,Pocket Books,42,,,
43,Pantheon Books,573-391-2739,"Pantheon Books""@gmail.com""",,Pantheon Books,43,,,
44,Del Rey,573-166-5935,"Del Rey""@gmail.com""",,Del Rey,44,,,
45,Doubleday,667-702-1934,"Doubleday""@gmail.com""",,Doubleday,45,,,
46,"Donald M. Grant Publisher, Inc.",617-325-7570,"Donald M. Grant Publisher, Inc.""@gmail.com""",,"Donald M. Grant Publisher, Inc.",46,,,
47,Vintage Books,696-193-1882,"Vintage Books""@gmail.com""",,Vintage Books,47,,,
48,Scribner Paperback Fiction,573-563-1472,"Scribner Paperback Fiction""@gmail.com""",,Scribner Paperback Fiction,48,,,
49,Harvest Books,667-618-2618,"Harvest Books""@gmail.com""",,Harvest Books,49,,,
50,Harperperennial Library,696-100-7453,"Harperperennial Library""@gmail.com""",,Harperperennial Library,50,,,
51,W.W. Norton & Company,573-664-2823,"W.W. Norton & Company""@gmail.com""",,W.W. Norton & Company,51,,,
52,Harvard Univ Pr,573-650-2643,"Harvard Univ Pr""@gmail.com""",,Harvard Univ Pr,52,,,
53,Prentice Hall PTR,922-305-7555,"Prentice Hall PTR""@gmail.com""",,Prentice Hall PTR,53,,,
54,New Riders Publishing,573-947-7159,"New Riders Publishing""@gmail.com""",,New Riders Publishing,54,,,
55,Ballantine Books ,922-922-9543,"Ballantine Books ""@gmail.com""",,Ballantine Books ,55,,,
56,Ballantine Books,617-308-6174,"Ballantine Books""@gmail.com""",,Ballantine Books,56,,,
57,Back Bay Books,573-406-9216,"Back Bay Books""@gmail.com""",,Back Bay Books,57,,,
58,Anchor Books,617-435-7755,"Anchor Books""@gmail.com""",,Anchor Books,58,,,
59,Putnam Pub Group,696-165-5134,"Putnam Pub Group""@gmail.com""",,Putnam Pub Group,59,,,
60,Silhouette,573-122-1602,"Silhouette""@gmail.com""",,Silhouette,60,,,
61,Lark Books,696-251-9301,"Lark Books""@gmail.com""",,Lark Books,61,,,
62,Harper,667-475-5196,"Harper""@gmail.com""",,Harper,62,,,
